time,num_cells,num_plants,avg_speed,avg_brain_size,avg_hunger,avg_isolation,avg_social,avg_sight_r
1,795,780,0,0,0,0,0,0
1,787,779,5.7232847,159.46672,18.667599,19.366304,19.119478,948.8565
1,759,705,6.0094213,167.54346,19.369864,20.784971,19.54672,1000.2733
1,667,620,6.5807223,179.04517,20.843231,23.610561,21.686115,1095.5132
1,630,541,7.379675,190.16704,22.951149,25.872244,23.446161,1191.0638
1,638,476,7.967565,194.91473,24.038328,26.337017,23.615486,1239.2849
1,673,407,8.034576,192.86723,24.361032,25.923721,23.735468,1239.7609
1,693,349,7.7985263,182.55423,23.59651,25.577538,22.964476,1184.6796
1,703,288,8.3456745,187.88188,24.61509,26.16406,24.890205,1230.3578
1,715,247,8.182251,178.65874,23.636312,25.089668,23.873991,1182.4653
1,710,196,8.728542,185.46603,25.162952,26.447357,24.750874,1228.2366
1,695,167,8.714333,183.73888,25.396261,26.616589,23.723824,1231.387
1,676,130,9.058958,189.42905,27.63259,28.51543,24.588823,1273.3564
1,678,113,9.675826,196.48024,29.43576,29.619959,25.846523,1327.3428
1,658,91,10.1979475,202.02165,30.442074,29.918665,26.789322,1379.6062
1,618,74,10.750466,214.29143,31.489346,32.42381,29.121216,1475.6301
1,572,68,11.516393,225.9534,33.67867,34.164703,31.618496,1567.9568
1,525,72,12.566994,246.52182,36.328663,36.506718,34.63182,1724.4174
1,473,71,14.160049,272.39746,41.082706,39.687798,37.91264,1924.6726
1,421,74,16.304722,310.64362,49.101486,46.282974,42.010292,2215.655
1,385,73,18.017553,344.3557,54.16618,52.26296,45.6356,2446.3174
1,341,76,20.972515,393.65665,64.309135,59.729923,54.43621,2837.6125
1,304,79,24.62748,443.10358,68.94942,66.085014,58.41371,3204.6829
1,275,95,27.88109,494.01392,75.69058,72.30431,65.07774,3629.644
1,258,77,30.398638,545.01373,86.717445,84.8829,73.62973,3994.632
1,273,82,30.342545,528.2041,82.33715,83.73927,73.02244,3918.3718
1,281,78,30.644587,519.00287,83.431694,90.474754,75.32942,3995.6855
1,275,88,30.194263,500.60806,84.51729,84.309875,74.0436,3926.7878
1,278,95,30.126696,491.86118,84.00012,84.99504,72.97069,3895.5378
1,284,95,29.974209,484.5564,83.13232,81.21295,75.04304,3839.1843
1,308,91,30.152054,465.6287,84.300446,75.627106,71.1131,3751.429
1,307,96,30.220438,435.89505,80.514336,75.84908,67.31609,3577.7405
1,313,84,30.050377,427.1205,77.22029,72.17595,69.26708,3551.2524
1,334,83,29.64279,419.6802,74.05173,69.552666,70.244865,3455.4424
1,346,95,28.072777,393.89005,70.63664,66.30486,64.517975,3210.5461
1,357,82,27.501549,387.22217,66.72962,68.65854,66.30922,3175.4033
1,363,80,27.560656,374.40356,66.30564,67.29178,64.162964,3087.6921
1,368,74,26.64903,368.23724,62.78301,65.88424,63.028233,3033.954
1,371,77,25.70062,356.46927,60.923286,62.21918,60.090782,2928.195
1,363,77,26.235273,364.3378,61.51934,62.446865,57.958157,2986.5356
1,349,67,27.487165,381.42752,63.938015,65.49993,60.934814,3139.2893
1,358,70,28.084055,384.19504,65.67966,65.48196,61.574448,3197.2979
1,359,70,28.02304,387.66858,63.83501,68.87007,61.642044,3219.556
1,362,59,27.689234,381.37845,59.542053,69.138954,62.61699,3174.822
1,372,58,27.296122,363.433,57.699963,66.05584,57.91367,3028.8604
1,373,52,26.886826,359.2992,58.0376,64.29883,57.865036,3027.2932
1,374,53,27.879175,360.29214,57.21559,65.88662,56.182163,3024.2275
1,391,62,27.566053,354.04062,58.798523,66.6773,55.64495,2967.025
1,377,57,27.289335,347.93417,59.303417,61.19545,51.396633,2915.5176
1,371,59,27.551313,367.893,62.941742,63.42876,54.65221,3062.858
1,369,58,27.79387,377.1301,62.293495,65.97597,53.624832,3100.95
1,365,59,27.87841,381.28354,61.007442,68.60085,55.676376,3152.2693
1,346,58,26.882444,381.77914,61.198677,67.96455,58.412834,3161.8027
1,346,63,28.29263,398.82156,63.15781,72.95932,60.675797,3333.6753
1,353,59,27.859196,390.3574,62.36205,70.00484,60.559338,3289.9714
1,353,63,26.263475,373.6391,60.08318,65.51139,57.025238,3135.1345
1,360,54,26.783482,381.43048,57.607876,67.60399,59.124603,3176.9063
1,366,53,26.251802,375.06836,58.750023,63.2924,58.96892,3120.55
1,361,65,25.495502,367.9708,56.397476,60.26971,53.770638,3059.438
1,356,69,25.828829,380.06494,57.350933,63.28822,53.008274,3167.8496
1,360,74,25.514452,381.77728,54.13149,66.30962,53.888733,3171.6985
1,371,71,24.629055,368.51205,52.979565,65.052536,53.81547,3064.502
1,364,70,25.003569,367.97696,56.22507,62.00403,53.574726,3052.6965
1,369,76,24.63998,359.2711,55.384636,60.284203,52.791996,3003.0715
1,360,75,25.65859,369.53055,54.89361,63.559685,50.84774,3117.4229
1,363,78,25.658823,369.688,54.990475,62.531166,53.581715,3115.2458
1,351,79,24.23274,364.6624,56.460575,61.25097,55.68254,3062.4949
1,354,81,25.575985,381.58597,58.11675,65.03052,55.204735,3194.6191
1,366,74,24.36578,365.55316,56.406113,62.37016,54.399036,3093.5825
1,366,79,23.799355,358.7614,54.23518,60.597393,55.78187,3047.0293
1,370,71,23.142338,357.2887,54.030567,61.54225,50.88814,3042.1619
1,370,79,23.523232,357.5345,52.862114,61.650246,50.01992,3045.204
1,369,80,23.094448,350.13046,53.16359,57.705753,49.751514,2990.0874
1,355,80,24.034,366.75113,56.040424,63.09234,54.714878,3175.3389
1,361,80,23.999777,368.89017,53.65269,66.4895,52.619038,3198.3171
1,358,78,23.34699,360.05853,51.948196,64.466446,52.68561,3162.433
1,369,87,22.933496,353.9669,52.94024,62.765984,55.673775,3114.9333
1,373,84,23.189995,355.53415,51.413048,64.29787,55.08543,3125.2163
1,369,87,22.515394,345.55893,49.729618,61.90622,52.813717,3025.341
1,367,85,21.970219,353.1055,50.735443,63.271225,53.00614,3091.7598
1,380,64,21.692368,342.75763,50.30983,60.65234,50.942165,2992.2363
1,386,60,21.186747,339.85577,50.471497,58.591187,53.11286,2954.2603
1,384,55,21.554914,342.7309,46.86948,62.52446,49.395885,2951.4014
1,389,60,21.905867,343.46045,46.43205,62.54306,47.064877,2948.4172
